Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Barbados,BRB,2023,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2022,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8
Barbados,BRB,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8
Barbados,BRB,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Barbados,BRB,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Barbados,BRB,2020,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.7309657842996
Barbados,BRB,2019,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.3255430894091
Barbados,BRB,2018,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.2651852221243
Barbados,BRB,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.2878109296981
Barbados,BRB,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.4150757393389
Barbados,BRB,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.1787536225197
Barbados,BRB,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.3938111163809
Barbados,BRB,2013,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.7944467458479
Barbados,BRB,2012,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.1846141376653
Barbados,BRB,2011,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.745049418333
Barbados,BRB,2010,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.1354483055595
Barbados,BRB,2009,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.1675646535713
Barbados,BRB,2008,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.1136589859394
Barbados,BRB,2007,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.0340484119677
Barbados,BRB,2006,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.9890500409602
